Hours;DK1;DK2;DK;SYS;DK1;DK2
06Ê-Ê07;2559;1708;4267;145,05;140,28;140,28
07Ê-Ê08;3020;2005;5025;169,53;153,04;153,04
08Ê-Ê09;3143;2109;5252;198,1;168,48;168,48
09Ê-Ê10;3052;2136;5188;199,45;162,14;172,58
10Ê-Ê11;3091;2138;5229;202,58;162,51;173,18
11Ê-Ê12;3098;2112;5210;194,82;161,47;163,48
12Ê-Ê13;3051;2064;5115;177,66;156,02;158,86
13Ê-Ê14;2982;1985;4967;168,48;153,78;156,54
14Ê-Ê15;2939;2039;4978;175,49;153,93;156,92
15Ê-Ê16;2864;2043;4907;202,21;154,53;172,88
16Ê-Ê17;3036;2096;5132;252,42;156,39;231,16
17Ê-Ê18;3300;2233;5533;254,36;158,41;258,39
18Ê-Ê19;3145;2219;5364;208,4;154,3;180,42
19Ê-Ê20;2928;2130;5058;177,51;152,81;155,42
20Ê-Ê21;2729;2010;4739;154,75;148,41;148,41
21Ê-Ê22;2562;1876;4438;150,57;144,68;144,68
22Ê-Ê23;2372;1706;4078;143,56;139,75;139,75
23Ê-Ê00;2193;1539;3732;136,1;134,08;134,08
00Ê-Ê01;2060;1442;3502;150,35;149,38;149,38
01Ê-Ê02;1989;1381;3370;147,29;146,47;146,47
02Ê-Ê03;1956;1359;3315;144,97;144,23;144,23
03Ê-Ê04;1976;1382;3358;145,27;144,38;144,38
04Ê-Ê05;2004;1405;3409;147,44;145,57;145,57
05Ê-Ê06;2170;1499;3669;150,79;147,81;147,81
06Ê-Ê07;2605;1754;4359;157,66;152,96;152,96
07Ê-Ê08;3074;2033;5107;185,34;164,6;164,6
08Ê-Ê09;3158;2104;5262;210,48;187,95;187,95
09Ê-Ê10;3031;2062;5093;253,76;210,71;210,71
10Ê-Ê11;3062;2060;5122;266,97;260,92;260,92
11Ê-Ê12;3704;2040;5744;292,93;283,16;283,16
12Ê-Ê13;2908;2040;4948;287,41;278,83;278,83
13Ê-Ê14;2980;2026;5006;288,9;273,16;273,16
14Ê-Ê15;2916;2014;4930;260,47;221,97;221,97
15Ê-Ê16;2927;2016;4943;286,74;210,18;268,91
16Ê-Ê17;3096;2078;5174;316,73;210,63;308
17Ê-Ê18;3294;2250;5544;346,28;220,85;335,39
18Ê-Ê19;3134;2196;5330;338,37;210,33;346,65
19Ê-Ê20;2952;2100;5052;270,47;200,49;320,02
20Ê-Ê21;2770;1984;4754;228,91;185,56;185,56
21Ê-Ê22;2594;1812;4406;200,63;164,6;164,6
22Ê-Ê23;2418;1718;4136;160,57;152,73;152,73
23Ê-Ê00;2187;1560;3747;149,82;144,53;144,53
00Ê-Ê01;2079;1456;3535;169,64;163,67;168,67
01Ê-Ê02;2116;1410;3526;163,22;162,26;162,26
02Ê-Ê03;2068;1396;3464;161,43;160,39;160,39
03Ê-Ê04;2068;1392;3460;162,33;160,54;160,54
04Ê-Ê05;2125;1409;3534;167,03;161,14;162,85
05Ê-Ê06;2263;1475;3738;197,32;161,29;180,53
06Ê-Ê07;2640;1703;4343;249,46;165,31;201,94
07Ê-Ê08;3054;1920;4974;410,08;207,39;539,06
08Ê-Ê09;3191;1942;5133;445,36;227,38;745,48
09Ê-Ê10;3139;1948;5087;432,9;218,88;593,82
10Ê-Ê11;3144;1953;5097;425,52;218,35;558,83
11Ê-Ê12;3136;1928;5064;409,85;201,72;457,82
12Ê-Ê13;3031;1922;4953;356,14;212,16;446,93
13Ê-Ê14;3029;1897;4926;320,03;194,56;461,4
14Ê-Ê15;3007;1908;4915;326,08;185,38;445,29
15Ê-Ê16;2960;1915;4875;370,99;176,06;488,03
16Ê-Ê17;3048;2036;5084;444,62;171,58;745,55
17Ê-Ê18;3263;2161;5424;433,35;185,16;728,02
18Ê-Ê19;3096;2116;5212;310,56;170,83;521,68
19Ê-Ê20;2931;2049;4980;257;161,96;277,44
20Ê-Ê21;2752;1954;4706;227,68;158,53;238,27
21Ê-Ê22;2629;1820;4449;202,69;160,17;192,99
22Ê-Ê23;2398;1661;4059;173,45;158,3;160,76
23Ê-Ê00;2221;1489;3710;155,47;151,14;151,14
00Ê-Ê01;2017;1380;3397;159,32;90,4;157,09
01Ê-Ê02;1957;1325;3282;154,48;128,52;150,37
02Ê-Ê03;2005;1302;3307;150,9;103,68;147,54
03Ê-Ê04;2007;1293;3300;150,45;90,33;148,14
04Ê-Ê05;2075;1338;3413;151,12;96,89;150,45
05Ê-Ê06;2209;1430;3639;161,49;126,65;154,63
06Ê-Ê07;2553;1665;4218;191,17;164,25;164,25
07Ê-Ê08;2989;1940;4929;265,17;208,78;223,1
08Ê-Ê09;3128;2042;5170;343,93;208,7;321,93
09Ê-Ê10;3089;2087;5176;282,25;198,41;326,03
10Ê-Ê11;3147;2057;5204;259,05;190,58;323,94
11Ê-Ê12;3124;2029;5153;256,81;192,14;275,61
12Ê-Ê13;3004;2018;5022;254,28;187,44;240,7
13Ê-Ê14;2893;2051;4944;236,45;190,8;199,75
14Ê-Ê15;2811;1996;4807;256,74;205,87;205,87
15Ê-Ê16;2705;1971;4676;326,7;229,81;239,28
16Ê-Ê17;2757;2081;4838;361,84;268,3;283,96
17Ê-Ê18;3017;2205;5222;365,04;324,91;344,31
18Ê-Ê19;2927;2144;5071;371,09;339,16;350,35
19Ê-Ê20;2690;2019;4709;319,54;289,48;299,03
20Ê-Ê21;2507;1866;4373;256,81;213,1;213,1
21Ê-Ê22;2371;1744;4115;214,67;187,15;187,15
22Ê-Ê23;2244;1610;3854;197,59;181,4;181,4
23Ê-Ê00;2087;1496;3583;176,78;169,02;169,02
