Hours;DK1;DK2;DK;SYS;DK1;DK2
14Ê-Ê15;2121;1718;3839;134,64;134,56;134,56
15Ê-Ê16;2118;1724;3842;133,89;133,82;133,82
16Ê-Ê17;2186;1772;3958;135,61;118,38;135,46
17Ê-Ê18;2467;1937;4404;146,35;142,54;145,3
18Ê-Ê19;2684;2064;4748;166,04;179,02;179,02
19Ê-Ê20;2550;1943;4493;169,62;164,17;182,67
20Ê-Ê21;2373;1793;4166;154,7;154,18;154,18
21Ê-Ê22;2223;1681;3904;147,54;147,09;147,09
22Ê-Ê23;2073;1538;3611;148,06;147,62;147,62
23Ê-Ê00;1944;1417;3361;145,97;145,75;145,75
00Ê-Ê01;1874;1312;3186;143,29;142,62;143,59
01Ê-Ê02;1857;1278;3135;135,68;132,55;135,83
02Ê-Ê03;1848;1247;3095;134,41;134,49;134,49
03Ê-Ê04;1861;1259;3120;134,26;134,34;134,34
04Ê-Ê05;1935;1300;3235;137,32;126,88;137,25
05Ê-Ê06;2118;1393;3511;149,48;137,92;147,39
06Ê-Ê07;2567;1660;4227;207,89;181,11;181,11
07Ê-Ê08;2920;1864;4784;283,45;257,79;257,79
08Ê-Ê09;3073;1957;5030;285,39;245,85;245,85
09Ê-Ê10;3053;1998;5051;288,82;208,78;208,78
10Ê-Ê11;3072;1999;5071;232,13;185,88;185,88
11Ê-Ê12;3025;1988;5013;193,79;175,14;175,14
12Ê-Ê13;2920;1955;4875;177,68;165,74;165,74
13Ê-Ê14;2906;1914;4820;180,06;161,27;161,64
14Ê-Ê15;2831;1882;4713;173,57;157,31;160,15
15Ê-Ê16;2695;1822;4517;168,58;156,34;161,94
16Ê-Ê17;2679;1846;4525;171,78;156,34;164,32
17Ê-Ê18;2910;2018;4928;203,26;172,45;193,49
18Ê-Ê19;2987;2132;5119;277,18;181,26;247,79
19Ê-Ê20;2848;2020;4868;185,73;164,7;227,2
20Ê-Ê21;2684;1887;4571;158,73;158,21;158,21
21Ê-Ê22;2490;1746;4236;150,23;149,26;149,26
22Ê-Ê23;2309;1591;3900;146,72;146,57;146,57
23Ê-Ê00;2119;1450;3569;140,31;140,45;140,45
00Ê-Ê01;1993;1358;3351;143,52;143,75;143,75
01Ê-Ê02;1932;1296;3228;142,03;142,11;142,11
02Ê-Ê03;1917;1275;3192;141,21;141,51;141,51
03Ê-Ê04;1924;1284;3208;141,88;141,96;141,96
04Ê-Ê05;1955;1323;3278;143,9;144,12;144,12
05Ê-Ê06;2128;1426;3554;149,12;147,48;147,48
06Ê-Ê07;2546;1686;4232;153,37;149,12;149,12
07Ê-Ê08;2933;1900;4833;193,73;175,3;179,63
08Ê-Ê09;3024;1987;5011;217,97;185,37;223,79
09Ê-Ê10;2925;2021;4946;176,65;163,96;179,55
10Ê-Ê11;2919;2033;4952;167,92;156,65;179,55
11Ê-Ê12;2853;2021;4874;156,43;151,66;179,18
12Ê-Ê13;2763;2011;4774;152,18;149,04;149,04
13Ê-Ê14;2762;1996;4758;150,31;148,15;148,15
14Ê-Ê15;2670;1977;4647;148,67;147,4;147,4
15Ê-Ê16;2705;1927;4632;148;146,58;146,58
16Ê-Ê17;2674;1956;4630;148,22;146,58;146,58
17Ê-Ê18;2894;2120;5014;152,25;148,15;148,15
18Ê-Ê19;2894;2180;5074;155,39;148,97;179,26
19Ê-Ê20;2720;2034;4754;148,6;147,55;147,55
20Ê-Ê21;2530;1892;4422;145,24;145,31;145,31
21Ê-Ê22;2371;1758;4129;142,33;142,41;142,41
22Ê-Ê23;2204;1590;3794;136,36;137,18;136,44
23Ê-Ê00;1978;1449;3427;127,86;127,26;128,01
00Ê-Ê01;1873;1360;3233;126,34;78,91;126,71
01Ê-Ê02;1866;1302;3168;126,41;101,13;126,56
02Ê-Ê03;1823;1265;3088;126,71;126,79;126,79
03Ê-Ê04;1835;1264;3099;127,01;127,09;127,09
04Ê-Ê05;1909;1281;3190;129,47;111,05;129,62
05Ê-Ê06;2064;1377;3441;137,68;118,21;134,99
06Ê-Ê07;2481;1625;4106;145,73;159,98;143,2
07Ê-Ê08;2858;1871;4729;171,39;172,13;168,03
08Ê-Ê09;2989;1969;4958;214,57;177,35;183,84
09Ê-Ê10;3010;2003;5013;203,76;177,65;179,67
10Ê-Ê11;3071;2037;5108;211,74;177,06;186,53
11Ê-Ê12;3047;2039;5086;187,05;177,06;186,68
12Ê-Ê13;2982;2031;5013;204,5;183,54;186,75
13Ê-Ê14;2974;2017;4991;193,24;187,72;187,72
14Ê-Ê15;2926;1973;4899;193,39;187,12;187,12
15Ê-Ê16;2846;1917;4763;186,68;177,13;186,97
16Ê-Ê17;2859;1930;4789;186,38;164,97;187,12
17Ê-Ê18;3062;2080;5142;282,44;200,85;232,92
18Ê-Ê19;3071;2126;5197;287,51;215,02;291,16
19Ê-Ê20;2891;1988;4879;220,76;197,27;268,34
20Ê-Ê21;2700;1874;4574;177,2;172,06;188,02
21Ê-Ê22;2509;1715;4224;153,71;153,56;153,56
22Ê-Ê23;2268;1555;3823;148,34;148,19;148,19
23Ê-Ê00;2083;1424;3507;144,17;144,09;144,09
00Ê-Ê01;1963;1330;3293;145,71;130,27;145,71
01Ê-Ê02;1923;1275;3198;142,73;142,43;142,43
02Ê-Ê03;1918;1248;3166;138,63;139;138,25
03Ê-Ê04;1936;1273;3209;135,12;134,08;134,82
04Ê-Ê05;2007;1302;3309;140,19;136,16;139,45
05Ê-Ê06;2172;1400;3572;152,05;144,52;148,84
06Ê-Ê07;2595;1656;4251;171,51;166,96;178,07
07Ê-Ê08;2939;1863;4802;261,14;190;225,13
08Ê-Ê09;3037;1956;4993;300,74;224,08;231,47
09Ê-Ê10;3012;1995;5007;268;193,58;230,72
10Ê-Ê11;3061;1987;5048;220,73;181,21;227,96
11Ê-Ê12;3033;1958;4991;195,45;175,09;232,43
12Ê-Ê13;2937;1944;4881;196,19;178;218,86
13Ê-Ê14;2934;1922;4856;189,86;174,57;222,14
14Ê-Ê15;2858;1892;4750;186,8;171,88;218,79
15Ê-Ê16;2746;1871;4617;185,98;168,45;225,43
16Ê-Ê17;2755;1874;4629;184,93;166,07;225,35
17Ê-Ê18;2937;2011;4948;242,28;183,74;239,07
18Ê-Ê19;2991;2096;5087;306,63;208,5;310,88
19Ê-Ê20;2838;1989;4827;186,87;169,5;242,13
20Ê-Ê21;2656;1847;4503;163,61;160,18;189,71
21Ê-Ê22;2458;1718;4176;157,86;156,97;186,5
22Ê-Ê23;2256;1551;3807;153,54;153,09;153,09
23Ê-Ê00;2078;1404;3482;148,17;147,5;147,5
00Ê-Ê01;1971;1308;3279;148,7;148,47;148,47
01Ê-Ê02;1920;1249;3169;146,16;145,79;145,79
02Ê-Ê03;1893;1224;3117;144,07;143,77;143,77
03Ê-Ê04;1894;1225;3119;142,73;143,1;142,43
04Ê-Ê05;1940;1269;3209;142,43;141,61;142,28
05Ê-Ê06;2104;1356;3460;153,25;150,49;150,49
06Ê-Ê07;2529;1615;4144;173,9;159,88;159,88
07Ê-Ê08;2895;1818;4713;242,36;195,68;230,95
08Ê-Ê09;3023;1918;4941;264,88;245,27;247,28
09Ê-Ê10;3002;1914;4916;267,56;218,65;218,65
10Ê-Ê11;3043;1973;5016;253,99;199,03;199,03
11Ê-Ê12;3049;1951;5000;188,44;177,33;177,33
12Ê-Ê13;3290;1920;5210;177,78;167,64;167,64
13Ê-Ê14;2768;1889;4657;176,21;162,42;162,42
14Ê-Ê15;2623;1846;4469;166,59;159,51;159,51
15Ê-Ê16;2531;1820;4351;165,03;159,29;159,29
16Ê-Ê17;2575;1865;4440;163,54;158,69;158,69
17Ê-Ê18;2737;2008;4745;177,85;163,24;186,8
18Ê-Ê19;2832;2071;4903;187,7;164,51;188,52
19Ê-Ê20;2638;1933;4571;163,46;159,14;159,14
20Ê-Ê21;2521;1769;4290;157,12;156,9;156,9
21Ê-Ê22;2363;1648;4011;154,81;154,14;154,14
22Ê-Ê23;2199;1540;3739;150,56;150,19;150,19
23Ê-Ê00;2051;1433;3484;147,35;147,13;147,13
00Ê-Ê01;1826;1331;3157;145,92;22,01;146,66
01Ê-Ê02;1724;1279;3003;143,01;143,01;143,01
02Ê-Ê03;1676;1233;2909;142,04;142,04;142,04
03Ê-Ê04;1643;1223;2866;141,44;141,44;141,44
04Ê-Ê05;1660;1215;2875;140,84;140,84;140,84
05Ê-Ê06;1732;1225;2957;141,81;141,81;141,81
06Ê-Ê07;1875;1285;3160;142,64;142,64;142,64
07Ê-Ê08;2041;1389;3430;147,93;147,93;147,93
08Ê-Ê09;2247;1559;3806;151,59;151,59;151,59
09Ê-Ê10;2381;1663;4044;155,76;155,76;155,76
10Ê-Ê11;2444;1715;4159;157,18;157,18;157,18
11Ê-Ê12;2446;1722;4168;156,59;156,59;156,59
12Ê-Ê13;2385;1717;4102;155,02;155,02;155,02
13Ê-Ê14;2330;1690;4020;150,92;150,92;150,92
14Ê-Ê15;2332;1679;4011;148,68;148,68;148,68
15Ê-Ê16;2301;1659;3960;148,53;148,53;148,53
16Ê-Ê17;2336;1693;4029;153,08;153,08;153,08
17Ê-Ê18;2531;1853;4384;157,48;156,36;156,36
18Ê-Ê19;2582;1928;4510;160,02;159,35;159,35
19Ê-Ê20;2413;1824;4237;157,78;157,48;157,48
20Ê-Ê21;2258;1706;3964;153,68;153,75;153,75
21Ê-Ê22;2118;1607;3725;152,63;152,26;152,26
22Ê-Ê23;1996;1509;3505;148,98;148,68;148,68
23Ê-Ê00;1894;1407;3301;145,62;145,62;145,62
00Ê-Ê01;1766;1315;3081;149,43;149,43;149,43
01Ê-Ê02;1688;1243;2931;145,18;145,18;145,18
02Ê-Ê03;1655;1193;2848;142,72;142,72;142,72
03Ê-Ê04;1648;1182;2830;139,44;139,44;139,44
04Ê-Ê05;1693;1196;2889;138,62;138,62;138,62
05Ê-Ê06;1744;1221;2965;140,48;140,48;140,48
06Ê-Ê07;1853;1277;3130;139,14;139,14;139,14
07Ê-Ê08;1990;1364;3354;140,11;140,11;140,11
08Ê-Ê09;2192;1524;3716;143,84;143,84;143,84
09Ê-Ê10;2327;1652;3979;149,14;149,14;149,14
10Ê-Ê11;2378;1748;4126;151,15;151,15;151,15
11Ê-Ê12;2375;1784;4159;153,01;153,01;153,01
12Ê-Ê13;2345;1759;4104;149,28;149,36;149,28
13Ê-Ê14;2315;1761;4076;142,87;142,79;142,87
14Ê-Ê15;2293;1732;4025;140,56;140,56;140,56
15Ê-Ê16;2310;1713;4023;140,48;140,48;140,48
16Ê-Ê17;2376;1742;4118;143,09;139,74;143,17
17Ê-Ê18;2604;1886;4490;153,46;153,46;153,46
18Ê-Ê19;2716;2015;4731;166,89;170,32;170,32
19Ê-Ê20;2570;1908;4478;163,16;163,16;163,16
20Ê-Ê21;2401;1768;4169;157,64;157,64;157,64
21Ê-Ê22;2251;1639;3890;156,45;156,22;156,22
22Ê-Ê23;2094;1496;3590;151,45;151,45;151,45
23Ê-Ê00;1981;1384;3365;146,15;146,15;146,15
00Ê-Ê01;1891;1290;3181;148,69;148,69;148,69
01Ê-Ê02;1847;1228;3075;147,27;147,27;147,27
02Ê-Ê03;1834;1202;3036;146,45;146,45;146,45
03Ê-Ê04;1846;1210;3056;145,55;145,55;145,55
04Ê-Ê05;1900;1237;3137;147,64;147,64;147,64
05Ê-Ê06;2072;1352;3424;156,75;156,75;156,75
06Ê-Ê07;2517;1606;4123;160,33;160,33;160,33
07Ê-Ê08;2902;1822;4724;180,39;180,39;180,39
08Ê-Ê09;3052;1939;4991;191,81;191,81;191,81
09Ê-Ê10;3029;1953;4982;213,74;213,74;213,74
10Ê-Ê11;3054;1967;5021;205,69;205,69;205,69
11Ê-Ê12;3007;1961;4968;191,59;191,59;191,59
12Ê-Ê13;2937;1953;4890;187,86;187,86;187,86
13Ê-Ê14;2947;1934;4881;185,84;185,84;185,84
14Ê-Ê15;2889;1920;4809;180,69;180,69;180,69
15Ê-Ê16;2795;1869;4664;170,85;170,85;170,85
16Ê-Ê17;2772;1897;4669;174,2;174,13;174,13
17Ê-Ê18;2969;2050;5019;191,06;200,46;223,14
18Ê-Ê19;3019;2105;5124;223,96;223,67;245,82
19Ê-Ê20;2898;1993;4891;197,11;196,14;213
20Ê-Ê21;2705;1852;4557;175,47;174,05;186,96
21Ê-Ê22;2507;1708;4215;162,49;162,49;162,49
22Ê-Ê23;2319;1545;3864;158,31;158,31;158,31
23Ê-Ê00;2118;1402;3520;155,33;155,33;155,33
00Ê-Ê01;1990;1311;3301;156,75;156,75;156,75
01Ê-Ê02;1947;1252;3199;153,84;153,84;153,84
02Ê-Ê03;1929;1225;3154;153,54;153,54;153,54
03Ê-Ê04;1944;1236;3180;154,13;154,13;154,13
04Ê-Ê05;1997;1279;3276;156,52;156,52;156,52
05Ê-Ê06;2174;1391;3565;160,77;160,77;160,77
06Ê-Ê07;2596;1626;4222;176,37;176,37;176,37
07Ê-Ê08;2969;1834;4803;240,97;240,97;245,9
08Ê-Ê09;3054;1940;4994;281,63;281,63;281,63
09Ê-Ê10;3058;1979;5037;254,7;254,7;254,7
10Ê-Ê11;3083;1995;5078;213,44;213,44;213,44
11Ê-Ê12;3045;1966;5011;189,87;189,65;189,65
12Ê-Ê13;2990;1946;4936;186,51;186,51;186,51
13Ê-Ê14;2980;1946;4926;183,98;183,83;183,83
14Ê-Ê15;2929;1922;4851;180,77;180,62;180,62
15Ê-Ê16;2846;1883;4729;178,46;182,71;182,71
16Ê-Ê17;2830;1899;4729;177,19;176,52;186,89
17Ê-Ê18;2978;2018;4996;204,64;222,1;241,05
18Ê-Ê19;2981;2097;5078;255,07;261,34;261,34
19Ê-Ê20;2864;1999;4863;229,56;242,76;242,76
20Ê-Ê21;2685;1853;4538;182,33;178,31;186,74
21Ê-Ê22;2495;1712;4207;171,44;171,37;171,37
22Ê-Ê23;2308;1555;3863;159,51;159,51;159,51
23Ê-Ê00;2097;1402;3499;154,43;154,43;154,43
00Ê-Ê01;1973;1307;3280;157,12;156,97;156,97
01Ê-Ê02;1924;1247;3171;153,91;153,61;153,61
02Ê-Ê03;1887;1223;3110;151,67;151,22;151,22
03Ê-Ê04;1894;1242;3136;150,25;149,81;149,81
04Ê-Ê05;1943;1292;3235;150,33;149,28;149,28
05Ê-Ê06;2104;1387;3491;160,7;157,71;157,71
06Ê-Ê07;2523;1621;4144;180,32;166,15;166,15
07Ê-Ê08;2877;1835;4712;206,95;185,24;187,18
08Ê-Ê09;3007;1944;4951;295,81;217,85;217,85
09Ê-Ê10;2970;1970;4940;202,18;186,74;186,74
10Ê-Ê11;2988;1999;4987;186,89;174,8;174,8
11Ê-Ê12;2941;1976;4917;187,41;177,93;177,93
12Ê-Ê13;2845;1932;4777;178,23;166,22;166,22
13Ê-Ê14;2850;1889;4739;172,79;163,83;163,83
14Ê-Ê15;2772;1844;4616;175,47;165,32;165,32
15Ê-Ê16;2662;1779;4441;177,56;167,86;167,86
16Ê-Ê17;2671;1785;4456;177,71;172,04;180,77
17Ê-Ê18;2827;1899;4726;187,26;182,33;194,35
18Ê-Ê19;2887;2030;4917;245,97;206,73;282,31
19Ê-Ê20;2787;1970;4757;190,47;184,42;194,57
20Ê-Ê21;2608;1847;4455;172,79;174,35;174,35
21Ê-Ê22;2420;1713;4133;166,82;166,15;166,15
22Ê-Ê23;2235;1554;3789;161,15;161;161
23Ê-Ê00;2051;1406;3457;156,82;156,75;156,75
00Ê-Ê01;1915;1306;3221;154,58;147,12;154,66
01Ê-Ê02;1876;1265;3141;150,48;150,48;150,48
02Ê-Ê03;1868;1242;3110;149,59;149,51;149,51
03Ê-Ê04;1879;1249;3128;150,41;150,41;150,41
04Ê-Ê05;1924;1251;3175;156,22;156,22;156,22
05Ê-Ê06;2100;1372;3472;163,91;161,15;162,12
06Ê-Ê07;2515;1624;4139;181,44;175,17;175,17
07Ê-Ê08;2887;1846;4733;218,6;190,69;190,69
08Ê-Ê09;3040;1940;4980;287,16;232,99;232,99
09Ê-Ê10;2975;1970;4945;291,04;218,82;218,82
10Ê-Ê11;3053;1983;5036;197,93;186,14;186,14
11Ê-Ê12;3052;1962;5014;187,04;181,89;181,89
12Ê-Ê13;2953;1938;4891;188,68;184,05;184,05
13Ê-Ê14;2944;1932;4876;186,81;181,89;181,89
14Ê-Ê15;2875;1898;4773;184,28;179,5;179,5
15Ê-Ê16;2776;1847;4623;179,8;179,28;179,28
16Ê-Ê17;2767;1847;4614;180,1;179,28;179,28
17Ê-Ê18;2936;1970;4906;187,04;184,65;186,37
18Ê-Ê19;2977;2065;5042;213,6;199,79;199,79
19Ê-Ê20;2864;1992;4856;192,04;190,02;190,02
20Ê-Ê21;2678;1849;4527;179,95;180,77;180,77
21Ê-Ê22;2490;1734;4224;174,21;174,28;174,28
22Ê-Ê23;2296;1578;3874;165,48;165,4;165,4
23Ê-Ê00;2104;1420;3524;158,46;158,39;158,39
00Ê-Ê01;1984;1327;3311;160,74;160,36;160,36
01Ê-Ê02;1925;1256;3181;155,74;155,52;155,52
02Ê-Ê03;1915;1235;3150;157,16;156,86;156,86
03Ê-Ê04;1923;1246;3169;157,31;157,08;157,08
04Ê-Ê05;1976;1282;3258;162,6;162,23;162,23
05Ê-Ê06;2146;1389;3535;168,49;167;167
06Ê-Ê07;2556;1629;4185;194,53;182,59;182,59
07Ê-Ê08;2905;1837;4742;281,05;257,1;257,1
08Ê-Ê09;3046;1938;4984;281,27;285,97;285,97
09Ê-Ê10;3019;1974;4993;281,2;273,66;273,66
10Ê-Ê11;3058;1981;5039;257,4;245,47;245,47
11Ê-Ê12;3010;1948;4958;224,06;238,53;238,53
12Ê-Ê13;2848;1907;4755;198,11;222,35;222,35
13Ê-Ê14;2752;1873;4625;188,11;196,76;196,76
14Ê-Ê15;2604;1814;4418;182,52;184,53;184,53
15Ê-Ê16;2506;1756;4262;176,1;181,4;181,4
16Ê-Ê17;2516;1776;4292;175,95;181,1;181,1
17Ê-Ê18;2685;1901;4586;204,82;203,1;203,1
18Ê-Ê19;2756;2015;4771;281,12;242,78;242,78
19Ê-Ê20;2643;1933;4576;215,19;241,89;241,89
20Ê-Ê21;2452;1791;4243;177,74;181,55;181,55
21Ê-Ê22;2300;1674;3974;173,04;182,14;182,14
22Ê-Ê23;2170;1551;3721;168,05;173,27;173,27
23Ê-Ê00;2006;1433;3439;163,94;164,62;164,62
00Ê-Ê01;1886;1345;3231;166,2;167,61;167,61
01Ê-Ê02;1805;1279;3084;164,93;166,57;166,57
02Ê-Ê03;1763;1250;3013;164,56;166,2;166,2
03Ê-Ê04;1758;1248;3006;164,48;166,2;166,2
04Ê-Ê05;1782;1260;3042;165,45;167,09;167,09
05Ê-Ê06;1847;1302;3149;166,87;169,11;169,11
06Ê-Ê07;1977;1362;3339;166,94;169,48;169,48
07Ê-Ê08;2148;1469;3617;166,72;170,52;170,52
08Ê-Ê09;2338;1622;3960;167,76;175,07;175,07
09Ê-Ê10;2422;1729;4151;173,36;184,92;184,92
10Ê-Ê11;2425;1782;4207;175,07;184,92;184,92
11Ê-Ê12;2392;1784;4176;171,2;181,19;181,19
12Ê-Ê13;2338;1750;4088;167,47;171,79;171,79
13Ê-Ê14;2270;1712;3982;166,05;167,69;167,69
14Ê-Ê15;2204;1695;3899;164,48;166,2;166,2
15Ê-Ê16;2199;1694;3893;164,11;165,82;165,82
16Ê-Ê17;2314;1744;4058;165,45;166,94;166,94
17Ê-Ê18;2514;1875;4389;170,37;178,66;178,66
18Ê-Ê19;2543;1953;4496;181,94;193,5;193,5
19Ê-Ê20;2465;1883;4348;175,82;181,71;181,71
20Ê-Ê21;2301;1751;4052;167,09;169,55;169,55
21Ê-Ê22;2161;1653;3814;166,87;169,11;169,11
22Ê-Ê23;2027;1536;3563;166,87;168,73;168,73
23Ê-Ê00;1887;1429;3316;165,45;167,02;167,02
00Ê-Ê01;1798;1348;3146;166,02;167,51;167,51
01Ê-Ê02;1745;1281;3026;162,96;164,9;164,9
02Ê-Ê03;1718;1253;2971;158,11;161,61;161,61
03Ê-Ê04;1731;1240;2971;155,05;156,99;156,99
04Ê-Ê05;1755;1248;3003;155,5;157,51;157,51
05Ê-Ê06;1815;1274;3089;156,84;160,12;160,12
06Ê-Ê07;1905;1312;3217;156,25;159,08;159,08
07Ê-Ê08;2043;1411;3454;157,36;161,09;161,09
08Ê-Ê09;2219;1562;3781;158,86;162,88;162,88
09Ê-Ê10;2299;1675;3974;162,36;164,67;164,67
10Ê-Ê11;2313;1733;4046;163,48;165,34;165,34
11Ê-Ê12;2297;1744;4041;162,36;164,75;164,75
12Ê-Ê13;2247;1735;3982;157,21;161,02;161,02
13Ê-Ê14;2178;1714;3892;153,63;155,95;155,95
14Ê-Ê15;2124;1670;3794;152,37;154,75;154,75
15Ê-Ê16;2107;1627;3734;152,22;154,68;154,68
16Ê-Ê17;2159;1635;3794;155,35;158,33;158,33
17Ê-Ê18;2421;1772;4193;161,39;157,89;164,15
18Ê-Ê19;2529;1918;4447;171,09;180,86;180,19
19Ê-Ê20;2462;1878;4340;171,31;178,1;178,1
20Ê-Ê21;2303;1749;4052;167,13;170,04;170,04
21Ê-Ê22;2149;1609;3758;165,87;167,36;167,36
22Ê-Ê23;1988;1469;3457;165,27;166,76;166,76
23Ê-Ê00;1871;1340;3211;163,11;164,67;164,67
00Ê-Ê01;1782;1241;3023;156,99;157,89;157,89
01Ê-Ê02;1731;1178;2909;152,81;153,56;153,56
02Ê-Ê03;1722;1158;2880;150,58;150,8;150,8
03Ê-Ê04;1724;1172;2896;150,8;151,02;151,02
04Ê-Ê05;1783;1205;2988;154,68;151,84;155,35
05Ê-Ê06;1961;1315;3276;162,29;163,48;163,48
06Ê-Ê07;2411;1563;3974;169,67;172,88;172,88
07Ê-Ê08;2814;1802;4616;185,18;182,72;257,9
08Ê-Ê09;2968;1904;4872;200,77;198,01;260,66
09Ê-Ê10;2979;1935;4914;185,26;182,87;231,12
10Ê-Ê11;3003;1963;4966;186,3;214,94;214,94
11Ê-Ê12;2976;1972;4948;177,2;178,77;178,77
12Ê-Ê13;2901;1955;4856;171,24;173,47;173,47
13Ê-Ê14;2900;1922;4822;167,81;170,34;170,34
14Ê-Ê15;2828;1894;4722;166,84;168,18;168,18
15Ê-Ê16;2703;1857;4560;166,76;167,73;167,73
16Ê-Ê17;2677;1866;4543;166,98;166,91;180,48
17Ê-Ê18;2838;1995;4833;170,34;182,35;223,59
18Ê-Ê19;2850;2048;4898;174,89;182,27;287,36
19Ê-Ê20;2796;1958;4754;171,31;175,34;219,41
20Ê-Ê21;2598;1828;4426;167,28;167,88;178,62
21Ê-Ê22;2393;1682;4075;165,64;165,94;165,94
22Ê-Ê23;2186;1520;3706;163,55;164,23;164,23
23Ê-Ê00;1977;1362;3339;156,62;157,36;157,36
00Ê-Ê01;1826;1270;3096;152,43;153,63;153,63
01Ê-Ê02;1759;1220;2979;150,72;151,09;151,09
02Ê-Ê03;1770;1198;2968;150,87;151,61;151,61
03Ê-Ê04;1794;1213;3007;150,57;150,94;150,94
04Ê-Ê05;1836;1242;3078;154,15;155,57;155,57
05Ê-Ê06;2003;1344;3347;161,9;163,02;163,02
06Ê-Ê07;2402;1565;3967;166,68;167,05;167,05
07Ê-Ê08;2754;1786;4540;178,31;178,39;185,55
08Ê-Ê09;2860;1883;4743;183,76;181,22;264,89
09Ê-Ê10;2837;1913;4750;179,73;179,65;261,69
10Ê-Ê11;2866;1927;4793;179,13;179,43;262,73
11Ê-Ê12;2812;1930;4742;173,76;178,31;190,91
12Ê-Ê13;2713;1878;4591;170,93;173,91;185,69
13Ê-Ê14;2786;1838;4624;168,54;171,15;171,15
14Ê-Ê15;2722;1791;4513;167,12;168,24;168,24
15Ê-Ê16;2613;1733;4346;165,71;166,53;166,53
16Ê-Ê17;2585;1721;4306;165,19;165,93;165,93
17Ê-Ê18;2775;1852;4627;167,65;171,52;185,25
18Ê-Ê19;2779;1935;4714;172,87;179,28;232,23
19Ê-Ê20;2740;1916;4656;170,78;179,06;248,41
20Ê-Ê21;2582;1808;4390;167,12;169,51;190,24
21Ê-Ê22;2400;1669;4069;164,66;166,23;166,23
22Ê-Ê23;2198;1513;3711;161,53;163,47;163,47
23Ê-Ê00;1999;1366;3365;155,42;156,24;156,24
00Ê-Ê01;1859;1271;3130;153,44;154,41;154,41
01Ê-Ê02;1811;1220;3031;151,27;152,24;152,24
02Ê-Ê03;1788;1202;2990;150,68;151,13;151,13
03Ê-Ê04;1811;1217;3028;149,63;149,56;149,56
04Ê-Ê05;1872;1255;3127;151,57;152,77;152,77
05Ê-Ê06;2058;1374;3432;158,95;160,97;160,97
06Ê-Ê07;2444;1584;4028;165,22;166,86;166,86
07Ê-Ê08;2792;1804;4596;173,49;173,34;247
08Ê-Ê09;2881;1880;4761;178,64;178,71;240,07
09Ê-Ê10;2857;1902;4759;173,49;177,22;182,07
10Ê-Ê11;2861;1902;4763;167,3;167,6;167,6
11Ê-Ê12;2823;1867;4690;167,01;167,23;167,23
12Ê-Ê13;2731;1848;4579;164,69;165,22;165,22
13Ê-Ê14;2730;1830;4560;162,46;162,9;162,9
14Ê-Ê15;2669;1781;4450;162,46;163,28;163,28
15Ê-Ê16;2532;1732;4264;161,94;162,46;162,46
16Ê-Ê17;2525;1721;4246;163,28;163,72;172,22
17Ê-Ê18;2688;1844;4532;165,22;176,1;217,7
18Ê-Ê19;2701;1935;4636;168,72;191,09;259,01
19Ê-Ê20;2703;1919;4622;166,93;186,24;193,17
20Ê-Ê21;2547;1796;4343;164,62;166,04;231,72
21Ê-Ê22;2373;1668;4041;162,46;163,95;163,95
22Ê-Ê23;2172;1506;3678;157,76;159,33;159,33
23Ê-Ê00;1972;1356;3328;152,62;153,44;153,44
00Ê-Ê01;1847;1251;3098;152,17;154,25;154,25
01Ê-Ê02;1803;1210;3013;149,63;150,38;150,38
02Ê-Ê03;1779;1183;2962;150;151,2;151,2
03Ê-Ê04;1793;1195;2988;151,35;153,29;153,29
04Ê-Ê05;1829;1226;3055;155,89;157,24;157,24
05Ê-Ê06;1982;1334;3316;162,01;164,47;164,47
06Ê-Ê07;2373;1542;3915;165,66;167;167
07Ê-Ê08;2716;1769;4485;173,41;176,7;176,7
08Ê-Ê09;2821;1849;4670;176,92;186,91;254,46
09Ê-Ê10;2816;1873;4689;176,17;181,77;189,07
10Ê-Ê11;2817;1880;4697;168,64;172,3;172,3
11Ê-Ê12;2835;1859;4694;167,53;170,51;170,51
12Ê-Ê13;2806;1818;4624;165,66;166,85;166,85
13Ê-Ê14;2820;1798;4618;164,32;165,51;165,51
14Ê-Ê15;2735;1766;4501;164,1;165,14;165,14
15Ê-Ê16;2632;1715;4347;163,2;164,54;164,54
16Ê-Ê17;2643;1725;4368;164,24;165,21;165,21
17Ê-Ê18;2826;1868;4694;166,03;166,78;182,59
18Ê-Ê19;2811;1947;4758;169,02;169,54;282,41
19Ê-Ê20;2757;1882;4639;167,67;168,87;226,5
20Ê-Ê21;2577;1758;4335;165,06;166,18;166,18
21Ê-Ê22;2411;1625;4036;163,57;164,84;164,84
22Ê-Ê23;2211;1465;3676;159,47;161,19;161,19
23Ê-Ê00;1998;1317;3315;155,15;155,97;155,97
00Ê-Ê01;1870;1234;3104;150,36;151,4;151,4
01Ê-Ê02;1817;1169;2986;146,18;145,14;145,14
02Ê-Ê03;1813;1146;2959;146,26;145,29;145,29
03Ê-Ê04;1822;1152;2974;147,08;146,63;146,63
04Ê-Ê05;1883;1193;3076;149,91;150,13;150,13
05Ê-Ê06;2042;1296;3338;159,75;160,87;160,87
06Ê-Ê07;2453;1525;3978;165,12;165,19;165,19
07Ê-Ê08;2845;1756;4601;170,34;170,11;170,11
08Ê-Ê09;2990;1857;4847;176,08;174,06;217,82
