Time ID,070,071,072,073,074,075,076,077,078,079,080
 08:00:00  08/01/17,3.11,3.50,4.72,3.11,3.22,3.72,3.61,6.22,4.11,4.89,3.78
 08:10:00  08/01/17,3.11,3.50,4.72,3.11,3.22,3.72,3.61,6.22,4.11,4.89,3.78
 08:20:00  08/01/17,3.11,3.50,4.72,3.11,3.22,3.72,3.61,6.22,4.11,4.89,3.78
 08:30:00  08/01/17,3.11,3.11,3.22,3.11,3.89,3.72,3.61,1.61,3.39,3.22,3.22
 08:40:00  08/01/17,3.11,3.11,3.22,3.11,3.89,3.72,3.61,1.61,3.39,3.22,3.22
 08:50:00  08/01/17,3.11,3.11,3.22,3.11,3.89,3.72,3.61,1.61,3.39,3.22,3.22
 09:00:00  08/01/17,3.89,3.11,3.22,3.11,3.39,3.39,3.22,0.72,3.39,3.22,5.28
 09:10:00  08/01/17,3.89,3.11,3.22,3.11,3.39,3.39,3.22,0.72,3.39,3.22,5.28
 09:20:00  08/01/17,3.89,3.11,3.22,3.11,3.39,3.39,3.22,0.72,3.39,3.22,5.28
 09:30:00  08/01/17,3.39,3.11,3.22,4.28,3.39,3.39,3.22,0.72,3.72,3.50,3.39
 09:40:00  08/01/17,3.39,3.11,3.22,4.28,3.39,3.39,3.22,0.72,3.72,3.50,3.39
 09:50:00  08/01/17,3.39,3.11,3.22,4.28,3.39,3.39,3.22,0.72,3.72,3.50,3.39
 10:00:00  08/01/17,3.39,3.39,4.28,3.50,4.39,4.11,3.50,0.11,3.72,3.50,3.39
 10:10:00  08/01/17,3.39,3.39,4.28,3.50,4.39,4.11,3.50,0.11,3.72,3.50,3.39
 10:20:00  08/01/17,3.39,3.39,4.28,3.50,4.39,4.11,3.50,0.11,3.72,3.50,3.39
 10:30:00  08/01/17,3.39,3.39,3.39,3.22,3.50,3.39,3.50,1.00,3.39,3.50,3.78
 10:40:00  08/01/17,3.39,3.39,3.39,3.22,3.50,3.39,3.50,1.00,3.39,3.50,3.78
 10:50:00  08/01/17,3.39,3.39,3.39,3.22,3.50,3.39,3.50,1.00,3.39,3.50,3.78
 11:00:00  08/01/17,3.39,3.39,3.39,3.50,3.50,3.39,4.72,2.11,3.78,5.61,3.78
 11:10:00  08/01/17,3.39,3.39,3.39,3.50,3.50,3.39,4.72,2.11,3.78,5.61,3.78
 11:20:00  08/01/17,3.39,3.39,3.39,3.50,3.50,3.39,4.72,2.11,3.78,5.61,3.78
 11:30:00  08/01/17,3.11,3.11,3.72,3.50,3.50,3.72,3.61,1.39,3.39,3.28,3.11
 11:40:00  08/01/17,3.11,3.11,3.72,3.50,3.50,3.72,3.61,1.39,3.39,3.28,3.11
 11:50:00  08/01/17,3.11,3.11,3.72,3.50,3.50,3.72,3.61,1.39,3.39,3.28,3.11
 12:00:00  08/01/17,3.39,3.39,3.28,3.89,3.50,3.22,3.28,0.89,4.22,3.28,3.39
 12:10:00  08/01/17,3.39,3.39,3.28,3.89,3.50,3.22,3.28,0.89,4.22,3.28,3.39
 12:20:00  08/01/17,3.39,3.39,3.28,3.89,3.50,3.22,3.28,0.89,4.22,3.28,3.39
 12:30:00  08/01/17,3.89,3.39,3.28,3.11,3.50,3.61,3.89,0.89,3.50,3.89,5.28
 12:40:00  08/01/17,3.89,3.39,3.28,3.11,3.50,3.61,3.89,0.89,3.50,3.89,5.28
 12:50:00  08/01/17,3.89,3.39,3.28,3.11,3.50,3.61,3.89,0.89,3.50,3.89,5.28
 13:00:00  08/01/17,3.50,3.39,3.61,4.72,3.50,3.28,3.39,0.89,3.22,3.50,3.22
 13:10:00  08/01/17,3.50,3.39,3.61,4.72,3.50,3.28,3.39,0.89,3.22,3.50,3.22
 13:20:00  08/01/17,3.50,3.39,3.61,4.72,3.50,3.28,3.39,0.89,3.22,3.50,3.22
 13:30:00  08/01/17,3.50,4.00,4.50,3.11,4.89,4.50,5.28,5.50,9.50,8.28,8.22
 13:40:00  08/01/17,3.50,4.00,4.50,3.11,4.89,4.50,5.28,5.50,9.50,8.28,8.22
 13:50:00  08/01/17,3.50,4.00,4.50,3.11,4.89,4.50,5.28,5.50,9.50,8.28,8.22
 14:00:00  08/01/17,3.50,3.50,3.61,3.11,3.28,3.50,3.28,6.72,4.22,3.28,3.61
 14:10:00  08/01/17,3.50,3.50,3.61,3.11,3.28,3.50,3.28,6.72,4.22,3.28,3.61
 14:20:00  08/01/17,3.50,3.50,3.61,3.11,3.28,3.50,3.28,6.72,4.22,3.28,3.61
 14:30:00  08/01/17,3.50,3.50,3.61,3.11,3.28,3.50,4.00,1.22,3.28,3.78,3.61
