Time ID,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161
 02:50:00  08/01/17,-19.89,-19.50,-19.50,-19.61,-19.39,-19.39,-19.22,-19.50,-19.39,-19.50,-19.50,-19.39,-19.28,-19.22,-19.11,-19.11,3.00,1.78,3.22,2.11,2.28,2.89,4.11,4.11,3.28,3.50,3.28,3.28,4.11,3.78,4.11,4.11
 03:00:00  08/01/17,-19.89,-19.50,-19.78,-19.61,-19.72,-19.39,-19.78,-19.50,-19.78,-19.50,-19.50,-19.39,-19.72,-19.61,-19.89,-19.89,4.39,2.11,3.22,2.11,2.28,1.78,3.78,4.11,3.28,3.89,3.78,3.28,3.28,3.22,3.78,3.39
 03:10:00  08/01/17,-19.89,-19.50,-19.78,-19.61,-19.72,-19.39,-19.78,-19.50,-19.78,-19.50,-19.50,-19.39,-19.72,-19.61,-19.89,-19.89,4.39,2.11,3.22,2.11,2.28,1.78,3.78,4.11,3.28,3.89,3.78,3.28,3.28,3.22,3.78,3.39
 03:20:00  08/01/17,-19.89,-19.50,-19.78,-19.61,-19.72,-19.39,-19.78,-19.50,-19.78,-19.50,-19.50,-19.39,-19.72,-19.61,-19.89,-19.89,4.39,2.11,3.22,2.11,2.28,1.78,3.78,4.11,3.28,3.89,3.78,3.28,3.28,3.22,3.78,3.39
 03:30:00  08/01/17,-19.39,-19.50,-19.50,-19.22,-19.28,-19.39,-19.22,-19.22,-19.78,-19.22,-19.50,-19.39,-19.39,-19.28,-19.61,-19.39,4.39,1.78,2.72,2.11,1.78,1.78,3.78,4.11,3.28,3.28,3.22,3.28,3.78,3.72,3.78,3.39
 03:40:00  08/01/17,-19.39,-19.50,-19.50,-19.22,-19.28,-19.39,-19.22,-19.22,-19.78,-19.22,-19.50,-19.39,-19.39,-19.28,-19.61,-19.39,4.39,1.78,2.72,2.11,1.78,1.78,3.78,4.11,3.28,3.28,3.22,3.28,3.78,3.72,3.78,3.39
 03:50:00  08/01/17,-19.39,-19.50,-19.50,-19.22,-19.28,-19.39,-19.22,-19.22,-19.78,-19.22,-19.50,-19.39,-19.39,-19.28,-19.61,-19.39,4.39,1.78,2.72,2.11,1.78,1.78,3.78,4.11,3.28,3.28,3.22,3.28,3.78,3.72,3.78,3.39
 04:00:00  08/01/17,-19.89,-19.50,-19.50,-19.61,-19.72,-19.39,-19.50,-19.61,-19.78,-19.72,-19.50,-19.39,-19.39,-19.72,-19.61,-19.39,3.28,2.28,2.39,2.11,1.78,1.78,3.78,4.11,3.72,4.00,4.11,3.28,3.11,3.28,3.50,3.39
 04:10:00  08/01/17,-19.89,-19.50,-19.50,-19.61,-19.72,-19.39,-19.50,-19.61,-19.78,-19.72,-19.50,-19.39,-19.39,-19.72,-19.61,-19.39,3.28,2.28,2.39,2.11,1.78,1.78,3.78,4.11,3.72,4.00,4.11,3.28,3.11,3.28,3.50,3.39
 04:20:00  08/01/17,-19.89,-19.50,-19.50,-19.61,-19.72,-19.39,-19.50,-19.61,-19.78,-19.72,-19.50,-19.39,-19.39,-19.72,-19.61,-19.39,3.28,2.28,2.39,2.11,1.78,1.78,3.78,4.11,3.72,4.00,4.11,3.28,3.11,3.28,3.50,3.39
 04:30:00  08/01/17,-19.50,-19.22,-18.50,-18.28,-19.11,-18.72,-18.78,-19.22,-19.11,-19.00,-19.50,-18.72,-18.89,-18.78,-19.61,-19.39,2.89,1.89,2.78,1.78,1.78,1.78,4.22,4.11,3.72,4.00,3.50,3.72,4.78,4.00,3.50,3.39
 04:40:00  08/01/17,-19.50,-19.22,-18.50,-18.28,-19.11,-18.72,-18.78,-19.22,-19.11,-19.00,-19.50,-18.72,-18.89,-18.78,-19.61,-19.39,2.89,1.89,2.78,1.78,1.78,1.78,4.22,4.11,3.72,4.00,3.50,3.72,4.78,4.00,3.50,3.39
 04:50:00  08/01/17,-19.50,-19.22,-18.50,-18.28,-19.11,-18.72,-18.78,-19.22,-19.11,-19.00,-19.50,-18.72,-18.89,-18.78,-19.61,-19.39,2.89,1.89,2.78,1.78,1.78,1.78,4.22,4.11,3.72,4.00,3.50,3.72,4.78,4.00,3.50,3.39
 05:00:00  08/01/17,-19.50,-19.61,-20.22,-19.39,-19.72,-19.28,-19.50,-19.72,-19.78,-19.61,-19.50,-19.50,-19.28,-19.50,-19.61,-19.72,2.39,2.50,2.78,2.22,2.11,1.78,4.22,4.11,3.72,3.61,3.50,3.39,3.39,3.61,3.50,3.39
 05:10:00  08/01/17,-19.50,-19.61,-20.22,-19.39,-19.72,-19.28,-19.50,-19.72,-19.78,-19.61,-19.50,-19.50,-19.28,-19.50,-19.61,-19.72,2.39,2.50,2.78,2.22,2.11,1.78,4.22,4.11,3.72,3.61,3.50,3.39,3.39,3.61,3.50,3.39
 05:20:00  08/01/17,-19.50,-19.61,-20.22,-19.39,-19.72,-19.28,-19.50,-19.72,-19.78,-19.61,-19.50,-19.50,-19.28,-19.50,-19.61,-19.72,2.39,2.50,2.78,2.22,2.11,1.78,4.22,4.11,3.72,3.61,3.50,3.39,3.39,3.61,3.50,3.39
 05:30:00  08/01/17,-18.00,-18.89,-17.00,-16.50,-16.78,-18.00,-16.11,-15.39,-17.72,-17.22,-17.78,-16.78,-17.22,-17.39,-17.28,-17.78,2.72,2.11,2.78,2.22,2.11,1.78,4.22,4.11,3.72,4.00,3.78,4.28,3.78,4.28,3.50,3.39
 05:40:00  08/01/17,-18.00,-18.89,-17.00,-16.50,-16.78,-18.00,-16.11,-15.39,-17.72,-17.22,-17.78,-16.78,-17.22,-17.39,-17.28,-17.78,2.72,2.11,2.78,2.22,2.11,1.78,4.22,4.11,3.72,4.00,3.78,4.28,3.78,4.28,3.50,3.39
 05:50:00  08/01/17,-18.00,-18.89,-17.00,-16.50,-16.78,-18.00,-16.11,-15.39,-17.72,-17.22,-17.78,-16.78,-17.22,-17.39,-17.28,-17.78,2.72,2.11,2.78,2.22,2.11,1.78,4.22,4.11,3.72,4.00,3.78,4.28,3.78,4.28,3.50,3.39
 06:00:00  08/01/17,-20.28,-19.61,-19.78,-19.39,-19.78,-19.28,-20.28,-19.11,-19.11,-19.28,-20.00,-19.72,-20.11,-19.61,-19.11,-19.89,2.11,2.11,3.61,2.22,2.11,1.78,3.72,4.39,3.72,3.22,3.22,3.11,3.78,3.50,3.11,3.39
 06:10:00  08/01/17,-20.28,-19.61,-19.78,-19.39,-19.78,-19.28,-20.28,-19.11,-19.11,-19.28,-20.00,-19.72,-20.11,-19.61,-19.11,-19.89,2.11,2.11,3.61,2.22,2.11,1.78,3.72,4.39,3.72,3.22,3.22,3.11,3.78,3.50,3.11,3.39
 06:20:00  08/01/17,-20.28,-19.61,-19.78,-19.39,-19.78,-19.28,-20.28,-19.11,-19.11,-19.28,-20.00,-19.72,-20.11,-19.61,-19.11,-19.89,2.11,2.11,3.61,2.22,2.11,1.78,3.72,4.39,3.72,3.22,3.22,3.11,3.78,3.50,3.11,3.39
 06:30:00  08/01/17,-19.89,-19.11,-20.22,-20.22,-19.78,-19.28,-19.00,-19.11,-19.50,-19.78,-18.78,-19.11,-19.78,-19.61,-19.50,-19.50,3.00,2.11,3.11,2.22,2.11,1.78,4.22,4.39,3.39,3.61,3.50,4.11,3.78,4.11,3.11,3.39
 06:40:00  08/01/17,-19.89,-19.11,-20.22,-20.22,-19.78,-19.28,-19.00,-19.11,-19.50,-19.78,-18.78,-19.11,-19.78,-19.61,-19.50,-19.50,3.00,2.11,3.11,2.22,2.11,1.78,4.22,4.39,3.39,3.61,3.50,4.11,3.78,4.11,3.11,3.39
 06:50:00  08/01/17,-19.89,-19.11,-20.22,-20.22,-19.78,-19.28,-19.00,-19.11,-19.50,-19.78,-18.78,-19.11,-19.78,-19.61,-19.50,-19.50,3.00,2.11,3.11,2.22,2.11,1.78,4.22,4.39,3.39,3.61,3.50,4.11,3.78,4.11,3.11,3.39
 07:00:00  08/01/17,-19.50,-19.72,-20.22,-19.39,-19.78,-20.28,-20.28,-19.61,-20.72,-19.78,-19.39,-20.11,-19.28,-20.00,-20.50,-19.50,2.28,1.72,2.78,1.89,2.11,1.39,3.72,4.39,3.39,3.61,3.11,3.28,3.78,3.22,3.11,3.39
 07:10:00  08/01/17,-19.50,-19.72,-20.22,-19.39,-19.78,-20.28,-20.28,-19.61,-20.72,-19.78,-19.39,-20.11,-19.28,-20.00,-20.50,-19.50,2.28,1.72,2.78,1.89,2.11,1.39,3.72,4.39,3.39,3.61,3.11,3.28,3.78,3.22,3.11,3.39
 07:20:00  08/01/17,-19.50,-19.72,-20.22,-19.39,-19.78,-20.28,-20.28,-19.61,-20.72,-19.78,-19.39,-20.11,-19.28,-20.00,-20.50,-19.50,2.28,1.72,2.78,1.89,2.11,1.39,3.72,4.39,3.39,3.61,3.11,3.28,3.78,3.22,3.11,3.39
 07:30:00  08/01/17,-19.50,-17.22,-19.61,-18.39,-19.28,-19.28,-18.39,-19.00,-19.00,-18.78,-19.39,-18.11,-18.22,-18.28,-18.61,-18.89,2.78,1.72,2.78,2.72,1.78,1.89,3.72,4.39,3.89,3.61,3.11,4.61,3.28,3.72,3.78,3.39
 07:40:00  08/01/17,-19.50,-17.22,-19.61,-18.39,-19.28,-19.28,-18.39,-19.00,-19.00,-18.78,-19.39,-18.11,-18.22,-18.28,-18.61,-18.89,2.78,1.72,2.78,2.72,1.78,1.89,3.72,4.39,3.89,3.61,3.11,4.61,3.28,3.72,3.78,3.39
 07:50:00  08/01/17,-19.50,-17.22,-19.61,-18.39,-19.28,-19.28,-18.39,-19.00,-19.00,-18.78,-19.39,-18.11,-18.22,-18.28,-18.61,-18.89,2.78,1.72,2.78,2.72,1.78,1.89,3.72,4.39,3.89,3.61,3.11,4.61,3.28,3.72,3.78,3.39
 08:00:00  08/01/17,-19.50,-19.89,-19.61,-20.00,-19.61,-19.89,-19.28,-19.72,-20.39,-20.00,-19.39,-19.72,-20.00,-20.11,-20.00,-20.39,2.22,1.72,2.39,2.39,1.78,2.22,3.72,4.39,3.11,3.61,3.11,3.61,3.00,3.28,3.50,4.00
 08:10:00  08/01/17,-19.50,-19.89,-19.61,-20.00,-19.61,-19.89,-19.28,-19.72,-20.39,-20.00,-19.39,-19.72,-20.00,-20.11,-20.00,-20.39,2.22,1.72,2.39,2.39,1.78,2.22,3.72,4.39,3.11,3.61,3.11,3.61,3.00,3.28,3.50,4.00
 08:20:00  08/01/17,-19.50,-19.89,-19.61,-20.00,-19.61,-19.89,-19.28,-19.72,-20.39,-20.00,-19.39,-19.72,-20.00,-20.11,-20.00,-20.39,2.22,1.72,2.39,2.39,1.78,2.22,3.72,4.39,3.11,3.61,3.11,3.61,3.00,3.28,3.50,4.00
 08:30:00  08/01/17,-20.00,-19.89,-20.11,-20.28,-19.89,-19.28,-20.72,-20.11,-19.11,-19.61,-19.89,-19.72,-19.50,-20.11,-19.22,-19.39,2.50,1.72,2.39,1.78,1.78,1.78,3.72,4.39,3.11,2.89,3.11,3.61,3.28,3.28,3.11,3.11
 08:40:00  08/01/17,-20.00,-19.89,-20.11,-20.28,-19.89,-19.28,-20.72,-20.11,-19.11,-19.61,-19.89,-19.72,-19.50,-20.11,-19.22,-19.39,2.50,1.72,2.39,1.78,1.78,1.78,3.72,4.39,3.11,2.89,3.11,3.61,3.28,3.28,3.11,3.11
