Time ID,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
 04:50:00  08/01/17,-19.50,-20.00,-5.11,-0.11,-20.61,-21.22,-21.11,-21.39,-19.61,-21.00,-21.00,-21.11,-21.11,-19.28,-19.89,-20.89
 05:00:00  08/01/17,-19.78,-19.61,-16.00,-10.39,-20.61,-18.61,-18.89,-20.89,-19.28,-21.00,-21.00,-19.22,-20.50,-18.61,-19.89,-20.50
 05:10:00  08/01/17,-19.78,-19.61,-16.00,-10.39,-20.61,-18.61,-18.89,-20.89,-19.28,-21.00,-21.00,-19.22,-20.50,-18.61,-19.89,-20.50
 05:20:00  08/01/17,-19.78,-19.61,-16.00,-10.39,-20.61,-18.61,-18.89,-20.89,-19.28,-21.00,-21.00,-19.22,-20.50,-18.61,-19.89,-20.50
 05:30:00  08/01/17,-18.61,-18.89,-17.00,-16.00,-16.61,-18.61,-2.00,6.89,-18.78,-17.28,-17.72,-19.22,-18.39,-18.61,-18.72,-18.50
 05:40:00  08/01/17,-18.61,-18.89,-17.00,-16.00,-16.61,-18.61,-2.00,6.89,-18.78,-17.28,-17.72,-19.22,-18.39,-18.61,-18.72,-18.50
 05:50:00  08/01/17,-18.61,-18.89,-17.00,-16.00,-16.61,-18.61,-2.00,6.89,-18.78,-17.28,-17.72,-19.22,-18.39,-18.61,-18.72,-18.50
 06:00:00  08/01/17,-19.50,-19.78,-19.78,-18.61,-19.22,-20.50,-19.78,-17.39,-19.61,-19.72,-19.61,-20.72,-20.28,-19.78,-20.61,-20.78
 06:10:00  08/01/17,-19.50,-19.78,-19.78,-18.61,-19.22,-20.50,-19.78,-17.39,-19.61,-19.72,-19.61,-20.72,-20.28,-19.78,-20.61,-20.78
 06:20:00  08/01/17,-19.50,-19.78,-19.78,-18.61,-19.22,-20.50,-19.78,-17.39,-19.61,-19.72,-19.61,-20.72,-20.28,-19.78,-20.61,-20.78
 06:30:00  08/01/17,-19.89,-19.78,-18.89,-20.50,-20.11,-20.78,-20.61,-20.00,-19.00,-20.72,0.72,0.11,-20.61,-19.78,-19.28,-20.39
 06:40:00  08/01/17,-19.89,-19.78,-18.89,-20.50,-20.11,-20.78,-20.61,-20.00,-19.00,-20.72,0.72,0.11,-20.61,-19.78,-19.28,-20.39
 06:50:00  08/01/17,-19.89,-19.78,-18.89,-20.50,-20.11,-20.78,-20.61,-20.00,-19.00,-20.72,0.72,0.11,-20.61,-19.78,-19.28,-20.39
 07:00:00  08/01/17,-19.89,-20.22,-18.89,-21.50,-21.00,-19.28,-19.39,-21.11,-19.00,-20.72,-10.89,-10.28,-21.00,-19.78,-18.78,-21.00
