 02:26:00  08/01/17,-19.61,-19.22,-19.39,-18.50,-19.61
 02:28:00  08/01/17,-19.22,-19.22,-19.39,-18.50,-19.61
 02:30:00  08/01/17,-19.22,-19.22,-19.39,-18.50,-19.61
 02:32:00  08/01/17,-19.22,-19.22,-19.39,-18.50,-19.61
 02:34:00  08/01/17,-19.22,-19.22,-19.39,-18.50,-19.61
 02:36:00  08/01/17,-19.22,-19.22,-19.39,-18.50,-19.61
 02:38:00  08/01/17,-19.22,-19.22,-19.39,-18.50,-19.61
 02:40:00  08/01/17,-19.22,-19.22,-19.39,-18.50,-19.61
 02:42:00  08/01/17,-19.22,-19.22,-19.39,-18.50,-19.61
 02:44:00  08/01/17,-19.22,-19.22,-19.39,-18.50,-19.61
 02:46:00  08/01/17,-19.22,-19.22,-19.39,-18.50,-19.61
 02:48:00  08/01/17,-19.22,-19.22,-19.39,-18.50,-19.61
 02:50:00  08/01/17,-19.22,-19.22,-19.39,-18.50,-19.61
 02:52:00  08/01/17,-19.22,-19.22,-19.39,-18.50,-19.61
 02:54:00  08/01/17,-19.22,-19.22,-19.39,-18.50,-19.61
 02:56:00  08/01/17,-19.22,-19.22,-19.39,-18.50,-19.61
 02:58:00  08/01/17,-19.22,-19.61,-19.39,-18.50,-19.61
 03:00:00  08/01/17,-19.22,-19.61,-19.39,-18.50,-19.61
 03:02:00  08/01/17,-19.22,-19.61,-19.39,-18.50,-19.61
 03:04:00  08/01/17,-19.22,-19.61,-19.39,-18.50,-19.61
 03:06:00  08/01/17,-19.22,-19.61,-19.39,-18.50,-19.61
 03:08:00  08/01/17,-19.22,-19.61,-19.39,-18.50,-19.61
 03:10:00  08/01/17,-19.22,-19.61,-19.39,-18.50,-19.61
 03:12:00  08/01/17,-19.22,-19.61,-19.39,-18.50,-19.61
 03:14:00  08/01/17,-19.22,-19.61,-19.39,-18.50,-19.61
 03:16:00  08/01/17,-19.22,-19.61,-19.39,-18.50,-19.61
 03:18:00  08/01/17,-19.22,-19.61,-19.39,-18.50,-19.61
 03:20:00  08/01/17,-19.22,-19.61,-19.39,-18.50,-19.61
 03:22:00  08/01/17,-19.22,-19.61,-19.39,-18.50,-19.61
 03:24:00  08/01/17,-19.22,-19.61,-19.39,-18.50,-19.61
 03:26:00  08/01/17,-19.22,-19.61,-19.39,-18.50,-19.61
 03:28:00  08/01/17,-19.61,-19.61,-19.78,-18.22,-13.61
 03:30:00  08/01/17,-19.61,-19.61,-19.78,-18.22,-13.61
 03:32:00  08/01/17,-19.61,-19.61,-19.78,-18.22,-13.61
 03:34:00  08/01/17,-19.61,-19.61,-19.78,-18.22,-13.61
 03:36:00  08/01/17,-19.61,-19.61,-19.78,-18.22,-13.61
 03:38:00  08/01/17,-19.61,-19.61,-19.78,-18.22,-13.61
